==> ELEM_VIA
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.1, 3.5);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (4.9, 3.0);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (4.7, 3.2);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (4.6, 3.1);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.0, 3.6);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.4, 3.9);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (4.6, 3.4);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.0, 3.4);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (4.4, 2.9);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (4.9, 3.1);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.4, 3.7);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (4.8, 3.4);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (4.8, 3.0);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (4.3, 3.0);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.8, 4.0);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.7, 4.4);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.4, 3.9);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.1, 3.5);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.7, 3.8);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.1, 3.8);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.4, 3.4);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.1, 3.7);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (4.6, 3.6);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.1, 3.3);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (4.8, 3.4);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.0, 3.0);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.0, 3.4);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.2, 3.5);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.2, 3.4);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (4.7, 3.2);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (4.8, 3.1);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.4, 3.4);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.2, 4.1);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.5, 4.2);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (4.9, 3.1);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.0, 3.2);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.5, 3.5);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (4.9, 3.1);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (4.4, 3.0);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.1, 3.4);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.0, 3.5);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (4.5, 2.3);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (4.4, 3.2);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.0, 3.5);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.1, 3.8);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (4.8, 3.0);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.1, 3.8);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (4.6, 3.2);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.3, 3.7);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.0, 3.3);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (7.0, 3.2);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (6.4, 3.2);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (6.9, 3.1);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.5, 2.3);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (6.5, 2.8);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.7, 2.8);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (6.3, 3.3);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (4.9, 2.4);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (6.6, 2.9);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.2, 2.7);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.0, 2.0);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.9, 3.0);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (6.0, 2.2);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (6.1, 2.9);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.6, 2.9);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (6.7, 3.1);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.6, 3.0);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.8, 2.7);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (6.2, 2.2);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.6, 2.5);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (5.9, 3.2);
INSERT INTO TABELA (COLUNA01, COLUNA02) VALUES (6.1, 2.8);
